Place_Name,Total_Transactions_count,Total_Amount,Quarter,Year,State,MyIndex
panchkula district,484783,992298739.8465136,3,2019,haryana,3925
bhiwani district,475369,1281625493.351535,3,2019,haryana,3926
sirsa district,420805,994405010.8659168,3,2019,haryana,3927
mewat district,620519,1477213719.6138625,3,2019,haryana,3928
panipat district,1155825,2901827842.890513,3,2019,haryana,3929
gurugram district,11843666,15022524504.76374,3,2019,haryana,3930
kaithal district,358681,1010171721.189143,3,2019,haryana,3931
kurukshetra district,616227,1219547000.470591,3,2019,haryana,3932
jhajjar district,755297,1642655006.4215212,3,2019,haryana,3933
yamunanagar district,498392,1112625525.993471,4,2019,haryana,3934
sonipat district,1368457,3347168252.768132,4,2019,haryana,3935
jind district,536486,1639970055.1800823,4,2019,haryana,3936
rohtak district,1428337,4158625641.792381,4,2019,haryana,3937
faridabad district,5358174,7782346423.807224,4,2019,haryana,3938
mahendragarh district,694592,1584910815.220122,4,2019,haryana,3939
hisar district,1309901,3351369912.8069725,4,2019,haryana,3940
karnal district,1280457,3322975421.6792207,4,2019,haryana,3941
fatehabad district,377876,992743748.5799376,4,2019,haryana,3942
palwal district,1273274,2370503274.367792,4,2019,haryana,3943
charkhi dadri district,168941,463339408.279556,4,2019,haryana,3944
ambala district,820296,1895665170.874163,4,2019,haryana,3945
rewari district,1538398,2831585559.795183,4,2019,haryana,3946
panchkula district,573361,1179807255.721688,4,2019,haryana,3947
bhiwani district,618484,1752990396.249226,4,2019,haryana,3948
sirsa district,558726,1348363727.65355,4,2019,haryana,3949
mewat district,850275,2267476888.485292,4,2019,haryana,3950
panipat district,1437677,3870819294.7898273,4,2019,haryana,3951
gurugram district,14935865,19000424238.11497,4,2019,haryana,3952
kaithal district,435877,1329296855.193705,4,2019,haryana,3953
kurukshetra district,796665,1609238971.3669562,4,2019,haryana,3954
jhajjar district,965474,2147473030.3808527,4,2019,haryana,3955
yamunanagar district,558348,1172835685.667386,1,2020,haryana,3956
sonipat district,2016893,5091258326.483329,1,2020,haryana,3957
jind district,792514,2305447628.7454963,1,2020,haryana,3958
rohtak district,1803076,5175066327.070365,1,2020,haryana,3959
faridabad district,5840117,8881105700.091959,1,2020,haryana,3960
mahendragarh district,812720,1774232508.953913,1,2020,haryana,3961
hisar district,1533724,3820470010.4559903,1,2020,haryana,3962
karnal district,1579733,4003478768.7248425,1,2020,haryana,3963
fatehabad district,438880,1074164856.930256,1,2020,haryana,3964
palwal district,1613263,3109146806.57809,1,2020,haryana,3965
charkhi dadri district,208834,562772483.6054598,1,2020,haryana,3966
ambala district,956506,2112697116.8509133,1,2020,haryana,3967
rewari district,1747564,3142595798.451387,1,2020,haryana,3968
panchkula district,651033,1274745092.228015,1,2020,haryana,3969
bhiwani district,768147,2100759580.672506,1,2020,haryana,3970
sirsa district,656981,1538727815.135291,1,2020,haryana,3971
mewat district,1241283,3154872672.0695763,1,2020,haryana,3972
panipat district,1781967,4661669007.426311,1,2020,haryana,3973
gurugram district,16484737,21152356889.05249,1,2020,haryana,3974
kaithal district,483716,1393783067.402382,1,2020,haryana,3975
kurukshetra district,976468,2101835665.216933,1,2020,haryana,3976
jhajjar district,1089583,2372192750.4319468,1,2020,haryana,3977
yamunanagar district,645364,1269799998.438766,2,2020,haryana,3978
sonipat district,2067865,5016220638.103821,2,2020,haryana,3979
jind district,791601,2194774577.812515,2,2020,haryana,3980
rohtak district,2050920,5946541938.9652815,2,2020,haryana,3981
faridabad district,5775792,8177450074.37961,2,2020,haryana,3982
mahendragarh district,1152066,2503496877.6459,2,2020,haryana,3983
hisar district,1644838,4146210408.44509,2,2020,haryana,3984
karnal district,1629574,4045109843.202601,2,2020,haryana,3985
fatehabad district,533673,1312791083.1632018,2,2020,haryana,3986
palwal district,2090627,3788124543.124005,2,2020,haryana,3987
charkhi dadri district,301953,834008663.4588815,2,2020,haryana,3988
ambala district,1016809,2154410296.0020723,2,2020,haryana,3989
rewari district,2022132,3582603328.500936,2,2020,haryana,3990
panchkula district,619625,1199233109.316799,2,2020,haryana,3991
bhiwani district,973720,2795033053.4607472,2,2020,haryana,3992
sirsa district,759835,1811788465.129197,2,2020,haryana,3993
mewat district,1598705,3658746771.705061,2,2020,haryana,3994
panipat district,2011582,5207544726.945989,2,2020,haryana,3995
gurugram district,11284856,14426170120.90345,2,2020,haryana,3996
kaithal district,583834,1619967939.151961,2,2020,haryana,3997
kurukshetra district,978542,2346620365.263732,2,2020,haryana,3998
jhajjar district,1247137,2674618100.821,2,2020,haryana,3999
yamunanagar district,763343,1615787281.77107,3,2020,haryana,4000
sonipat district,2922945,7024743099.006163,3,2020,haryana,4001
jind district,893421,2533560699.496646,3,2020,haryana,4002
rohtak district,1740356,4643691557.73987,3,2020,haryana,4003
faridabad district,8700173,13490214442.58587,3,2020,haryana,4004
mahendragarh district,1444047,3179331732.0796742,3,2020,haryana,4005
hisar district,2209518,5761605477.767697,3,2020,haryana,4006
karnal district,1955755,4578348863.2612,3,2020,haryana,4007
fatehabad district,623907,1615396730.6670148,3,2020,haryana,4008
palwal district,2672871,4869775358.80177,3,2020,haryana,4009
charkhi dadri district,356875,1030013843.475117,3,2020,haryana,4010
ambala district,1529567,3610359386.46372,3,2020,haryana,4011
rewari district,3041169,5346067429.247877,3,2020,haryana,4012
panchkula district,802938,1612924042.1496212,3,2020,haryana,4013
bhiwani district,1151218,3304152585.372496,3,2020,haryana,4014
sirsa district,907337,2219962582.328168,3,2020,haryana,4015
mewat district,2107221,5099537212.926384,3,2020,haryana,4016
panipat district,2334545,5809998640.786768,3,2020,haryana,4017
gurugram district,18098421,23437360421.862152,3,2020,haryana,4018
kaithal district,679617,1932756087.885961,3,2020,haryana,4019
kurukshetra district,1320433,3113702590.4685,3,2020,haryana,4020
jhajjar district,1682502,3738660379.5864167,3,2020,haryana,4021
yamunanagar district,1077956,2410444772.0000343,4,2020,haryana,4022
sonipat district,3721622,9010603701.960873,4,2020,haryana,4023
jind district,1272317,3898130378.609853,4,2020,haryana,4024
rohtak district,2331057,6256117815.679721,4,2020,haryana,4025
faridabad district,12149079,19603646063.14785,4,2020,haryana,4026
mahendragarh district,2071830,5132014525.594751,4,2020,haryana,4027
hisar district,3190398,8738948858.681063,4,2020,haryana,4028
karnal district,2527301,6152410695.701475,4,2020,haryana,4029
fatehabad district,929917,2561718838.438777,4,2020,haryana,4030
palwal district,3692902,7333424919.068589,4,2020,haryana,4031
charkhi dadri district,516694,1591959232.8183222,4,2020,haryana,4032
ambala district,1935671,4518807087.5245695,4,2020,haryana,4033
rewari district,4329508,8169865745.127572,4,2020,haryana,4034
panchkula district,1120856,2225317959.4937544,4,2020,haryana,4035
bhiwani district,1703541,5280654023.625282,4,2020,haryana,4036
sirsa district,1289154,3492793677.784552,4,2020,haryana,4037
mewat district,2948645,7484819524.783331,4,2020,haryana,4038
panipat district,3059943,7874714735.936349,4,2020,haryana,4039
gurugram district,28192581,35629614077.0103,4,2020,haryana,4040
kaithal district,959377,2945844252.9955378,4,2020,haryana,4041
kurukshetra district,1721950,4141680049.095256,4,2020,haryana,4042
jhajjar district,2429140,5544973431.463554,4,2020,haryana,4043
yamunanagar district,1043361,2388580347.284953,1,2021,haryana,4044
sonipat district,4353956,9992974986.499811,1,2021,haryana,4045
jind district,1154593,3573969997.61402,1,2021,haryana,4046
rohtak district,2708295,6792159646.7480345,1,2021,haryana,4047
faridabad district,12970900,21241648453.91784,1,2021,haryana,4048
mahendragarh district,2091685,5054815918.884792,1,2021,haryana,4049
hisar district,3294765,8859730937.006819,1,2021,haryana,4050
karnal district,2822406,6379825746.570849,1,2021,haryana,4051
fatehabad district,997671,2397117720.90941,1,2021,haryana,4052
palwal district,3641453,7214450169.004797,1,2021,haryana,4053
charkhi dadri district,500029,1545051474.217742,1,2021,haryana,4054
ambala district,2455019,5222888389.089357,1,2021,haryana,4055
rewari district,4385531,8303713646.79833,1,2021,haryana,4056
panchkula district,1145687,2252411265.671176,1,2021,haryana,4057
bhiwani district,1699650,5156315675.845505,1,2021,haryana,4058
sirsa district,1294809,3492030664.738696,1,2021,haryana,4059
mewat district,3236320,8671355565.335659,1,2021,haryana,4060
panipat district,3288095,7866864997.406405,1,2021,haryana,4061
gurugram district,31719830,39350276708.73313,1,2021,haryana,4062
kaithal district,852261,2586851316.857672,1,2021,haryana,4063
kurukshetra district,2295153,5110348415.3477,1,2021,haryana,4064
jhajjar district,2301315,5484919037.945828,1,2021,haryana,4065
yamunanagar district,1288367,2864427756.781926,2,2021,haryana,4066
sonipat district,5818055,12924700817.49342,2,2021,haryana,4067
jind district,1550803,4689686886.344697,2,2021,haryana,4068
rohtak district,3586587,8769888644.596024,2,2021,haryana,4069
faridabad district,14467773,23831325859.81366,2,2021,haryana,4070
mahendragarh district,2724054,6287702298.385579,2,2021,haryana,4071
hisar district,4588374,11866795026.6516,2,2021,haryana,4072
karnal district,3501189,7822099240.647442,2,2021,haryana,4073
fatehabad district,1100601,3020218252.647769,2,2021,haryana,4074
palwal district,4765916,9533885152.800253,2,2021,haryana,4075
charkhi dadri district,684041,2088906079.701446,2,2021,haryana,4076
ambala district,3023586,6179397558.051969,2,2021,haryana,4077
rewari district,5377720,9762169802.61403,2,2021,haryana,4078
panchkula district,1272702,2459954745.801186,2,2021,haryana,4079
bhiwani district,2267331,6728640756.042201,2,2021,haryana,4080
sirsa district,1608624,4366016286.75495,2,2021,haryana,4081
mewat district,4011429,9985192715.597248,2,2021,haryana,4082
panipat district,4781725,10716524259.18295,2,2021,haryana,4083
gurugram district,32311326,39938868048.39106,2,2021,haryana,4084
kaithal district,1115241,3361028623.8560667,2,2021,haryana,4085
kurukshetra district,2888055,6319003500.327951,2,2021,haryana,4086
jhajjar district,2947357,6840921926.20001,2,2021,haryana,4087
yamunanagar district,1645578,3389970834.1231103,3,2021,haryana,4088
sonipat district,7173052,14357121849.97747,3,2021,haryana,4089
jind district,1850342,5031028936.730068,3,2021,haryana,4090
rohtak district,4615616,10168683402.047,3,2021,haryana,4091
faridabad district,19367342,30608591108.26096,3,2021,haryana,4092
mahendragarh district,3395777,7301706022.252072,3,2021,haryana,4093
hisar district,5215891,12437366867.17138,3,2021,haryana,4094
karnal district,4403307,8835919266.381252,3,2021,haryana,4095
fatehabad district,1376222,3397455787.171774,3,2021,haryana,4096
palwal district,5875612,10372287086.18314,3,2021,haryana,4097
charkhi dadri district,836718,2300260231.729553,3,2021,haryana,4098
ambala district,3571542,6863762736.196912,3,2021,haryana,4099
rewari district,7225396,12146892237.73042,3,2021,haryana,4100
panchkula district,1687993,3102317465.603709,3,2021,haryana,4101
bhiwani district,2813880,7537025745.245574,3,2021,haryana,4102
sirsa district,2082195,5060911913.209234,3,2021,haryana,4103
mewat district,5054460,11174788500.588173,3,2021,haryana,4104
panipat district,6120958,12577188571.75668,3,2021,haryana,4105
gurugram district,47680658,55914389975.07391,3,2021,haryana,4106
kaithal district,1318837,3485425651.327624,3,2021,haryana,4107
kurukshetra district,3292588,6684284263.874127,3,2021,haryana,4108
jhajjar district,3855729,8079713806.573341,3,2021,haryana,4109
yamunanagar district,2005594,4432197771.83603,4,2021,haryana,4110
sonipat district,8588386,18170993284.93904,4,2021,haryana,4111
jind district,2259248,6816681201.932595,4,2021,haryana,4112
rohtak district,5544335,13098837015.96526,4,2021,haryana,4113
faridabad district,23169872,38292223252.23201,4,2021,haryana,4114
mahendragarh district,4181692,9914590329.515892,4,2021,haryana,4115
hisar district,6193863,16081687128.15365,4,2021,haryana,4116
karnal district,5416815,11527031601.801607,4,2021,haryana,4117
fatehabad district,1625730,4609405749.168196,4,2021,haryana,4118
palwal district,7384842,13860018394.65787,4,2021,haryana,4119
charkhi dadri district,1043359,3067273213.74452,4,2021,haryana,4120
ambala district,4375829,8691950949.003767,4,2021,haryana,4121
rewari district,8487387,15492946892.60811,4,2021,haryana,4122
panchkula district,2002888,3658626137.798519,4,2021,haryana,4123
bhiwani district,3472532,10151556217.95707,4,2021,haryana,4124
sirsa district,2446496,6559405966.752363,4,2021,haryana,4125
mewat district,6907605,14906046920.12625,4,2021,haryana,4126
panipat district,7419868,16276012822.87931,4,2021,haryana,4127
gurugram district,56754843,69593103272.65858,4,2021,haryana,4128
kaithal district,1588180,4762264446.440141,4,2021,haryana,4129
kurukshetra district,4001894,8695022744.013264,4,2021,haryana,4130
jhajjar district,4815717,10582723986.27637,4,2021,haryana,4131
yamunanagar district,2253333,4786194823.90891,1,2022,haryana,4132
sonipat district,9614092,19484490398.321854,1,2022,haryana,4133
jind district,2576211,7336008430.987074,1,2022,haryana,4134
rohtak district,6268896,14421297234.32816,1,2022,haryana,4135
faridabad district,25918817,42896865210.61576,1,2022,haryana,4136
mahendragarh district,4634666,10481118324.31175,1,2022,haryana,4137
hisar district,7216543,18068574001.48486,1,2022,haryana,4138
karnal district,6097787,12324299904.9071,1,2022,haryana,4139
fatehabad district,1857156,5055875001.302255,1,2022,haryana,4140
palwal district,8401353,15280812571.29576,1,2022,haryana,4141
charkhi dadri district,1198361,3394984317.1234503,1,2022,haryana,4142
ambala district,4660808,8760751717.308666,1,2022,haryana,4143
rewari district,9346086,16678823765.17648,1,2022,haryana,4144
panchkula district,2183923,3869505496.221821,1,2022,haryana,4145
bhiwani district,3961445,10910190978.31655,1,2022,haryana,4146
sirsa district,2831725,7379924149.999417,1,2022,haryana,4147
mewat district,8788025,17806136968.70602,1,2022,haryana,4148
panipat district,9264902,19020193908.56442,1,2022,haryana,4149
gurugram district,63282822,77508209556.89508,1,2022,haryana,4150
kaithal district,1752259,4991707455.869148,1,2022,haryana,4151
kurukshetra district,4494806,9312857727.477526,1,2022,haryana,4152
jhajjar district,5384593,11535220709.655289,1,2022,haryana,4153
yamunanagar district,2726028,5530827750.428615,2,2022,haryana,4154
sonipat district,11943138,22987659569.92809,2,2022,haryana,4155
jind district,3043047,8415027257.794131,2,2022,haryana,4156
rohtak district,7714114,16685032554.576132,2,2022,haryana,4157
faridabad district,30409719,48406473821.004944,2,2022,haryana,4158
mahendragarh district,5525636,11861770615.02047,2,2022,haryana,4159
hisar district,8798889,20864338832.46772,2,2022,haryana,4160
karnal district,7462000,14355989091.56626,2,2022,haryana,4161
fatehabad district,2150031,5634767483.027428,2,2022,haryana,4162
palwal district,9782307,17323076797.70682,2,2022,haryana,4163
charkhi dadri district,1432206,3932766336.636679,2,2022,haryana,4164
ambala district,6192518,10618896839.332031,2,2022,haryana,4165
rewari district,11224593,19046645607.85733,2,2022,haryana,4166
panchkula district,2677014,4456867627.30915,2,2022,haryana,4167
bhiwani district,4742369,12775972575.8852,2,2022,haryana,4168
sirsa district,3313264,8249933481.5586815,2,2022,haryana,4169
mewat district,10609222,20575618595.50345,2,2022,haryana,4170
panipat district,10820296,21066063900.647213,2,2022,haryana,4171
gurugram district,79880852,92145454120.45726,2,2022,haryana,4172
kaithal district,2058838,5739157316.646477,2,2022,haryana,4173
kurukshetra district,5673323,11097243348.70733,2,2022,haryana,4174
jhajjar district,6520558,13464451725.44448,2,2022,haryana,4175
yamunanagar district,3301355,6133608086.146572,3,2022,haryana,4176
sonipat district,16738938,29152136081.76558,3,2022,haryana,4177
jind district,3980057,9507339927.814548,3,2022,haryana,4178
rohtak district,9939686,18965127888.07128,3,2022,haryana,4179
faridabad district,31002825,46163415393.39194,3,2022,haryana,4180
mahendragarh district,6121120,12093049365.9165,3,2022,haryana,4181
hisar district,15314209,30005386061.11854,3,2022,haryana,4182
karnal district,9139842,16912349321.59309,3,2022,haryana,4183
fatehabad district,2655690,6105812008.823677,3,2022,haryana,4184
palwal district,11032395,17956834811.92096,3,2022,haryana,4185
charkhi dadri district,1905318,4437299973.7091055,3,2022,haryana,4186
ambala district,6086047,10116706967.31264,3,2022,haryana,4187
rewari district,12015067,19436985212.741524,3,2022,haryana,4188
panchkula district,3163399,5091947798.204769,3,2022,haryana,4189
bhiwani district,5766666,13530980795.26213,3,2022,haryana,4190
sirsa district,3534343,8047893249.892181,3,2022,haryana,4191
mewat district,10832560,19134475751.35768,3,2022,haryana,4192
panipat district,13837300,24633921100.88529,3,2022,haryana,4193
gurugram district,87103856,99360193857.466,3,2022,haryana,4194
kaithal district,2421074,6088867214.3334255,3,2022,haryana,4195
kurukshetra district,5217298,10020415182.2506,3,2022,haryana,4196
jhajjar district,8252765,15159748528.048512,3,2022,haryana,4197
yamunanagar district,3466371,6908891031.202131,4,2022,haryana,4198
sonipat district,17683407,32605509131.38688,4,2022,haryana,4199
jind district,4569840,11512394906.15567,4,2022,haryana,4200
rohtak district,14350357,27248544247.19378,4,2022,haryana,4201
faridabad district,33161524,49923713557.162994,4,2022,haryana,4202
mahendragarh district,6486647,13766606940.21063,4,2022,haryana,4203
hisar district,16862076,34368965296.500374,4,2022,haryana,4204
karnal district,12214724,23383107604.30776,4,2022,haryana,4205
fatehabad district,4022738,8995759822.121244,4,2022,haryana,4206
palwal district,13114018,21856737361.77354,4,2022,haryana,4207
charkhi dadri district,2645352,6130087693.027288,4,2022,haryana,4208
ambala district,7963628,13826073864.16788,4,2022,haryana,4209
rewari district,13324092,22585777499.591312,4,2022,haryana,4210
panchkula district,3484454,5413495938.537835,4,2022,haryana,4211
bhiwani district,6808665,16552856640.69554,4,2022,haryana,4212
sirsa district,3999862,9396522425.89089,4,2022,haryana,4213
mewat district,11181774,20507941017.88488,4,2022,haryana,4214
panipat district,12217738,23682687583.53793,4,2022,haryana,4215
gurugram district,92493335,107046551341.7809,4,2022,haryana,4216
kaithal district,2779368,7328533737.39424,4,2022,haryana,4217
kurukshetra district,5165029,10664712701.05904,4,2022,haryana,4218
jhajjar district,8653366,16785189538.5209,4,2022,haryana,4219
solan district,118881,146873607.4169529,1,2018,himachal-pradesh,4220
sirmaur district,37721,43579534.40144637,1,2018,himachal-pradesh,4221
shimla district,54161,84375526.97610706,1,2018,himachal-pradesh,4222
bilaspur district,21880,20215586.70712164,1,2018,himachal-pradesh,4223
hamirpur district,32709,37506250.252365,1,2018,himachal-pradesh,4224
una district,39070,48375221.95801557,1,2018,himachal-pradesh,4225
kangra district,62061,83269925.3876329,1,2018,himachal-pradesh,4226
kullu district,23978,36599342.90480824,1,2018,himachal-pradesh,4227
mandi district,44169,50308276.31329341,1,2018,himachal-pradesh,4228
lahul and spiti district,335,441404.9147610669,1,2018,himachal-pradesh,4229
chamba district,41138,69091183.95337541,1,2018,himachal-pradesh,4230
kinnaur district,5815,8101945.186458489,1,2018,himachal-pradesh,4231
solan district,166516,254576422.91686356,2,2018,himachal-pradesh,4232
sirmaur district,53040,77059907.62248288,2,2018,himachal-pradesh,4233
shimla district,82195,162202102.5969314,2,2018,himachal-pradesh,4234
bilaspur district,30705,41392933.9580691,2,2018,himachal-pradesh,4235
hamirpur district,41507,63207300.3000073,2,2018,himachal-pradesh,4236
una district,51637,81025669.3259282,2,2018,himachal-pradesh,4237
kangra district,97426,172859755.3158103,2,2018,himachal-pradesh,4238
kullu district,39948,96624850.44143352,2,2018,himachal-pradesh,4239
mandi district,58415,85994890.1558109,2,2018,himachal-pradesh,4240
lahul and spiti district,774,1438357.7915857893,2,2018,himachal-pradesh,4241
chamba district,55922,125825520.9471192,2,2018,himachal-pradesh,4242
kinnaur district,9610,20961589.97908257,2,2018,himachal-pradesh,4243
solan district,229164,373018057.43223625,3,2018,himachal-pradesh,4244
sirmaur district,78762,124334576.9989431,3,2018,himachal-pradesh,4245
shimla district,109765,261701779.3946317,3,2018,himachal-pradesh,4246
bilaspur district,37993,56133326.96672872,3,2018,himachal-pradesh,4247
hamirpur district,58022,90529572.1234664,3,2018,himachal-pradesh,4248
una district,73766,150521417.2722559,3,2018,himachal-pradesh,4249
kangra district,123560,243834956.63139293,3,2018,himachal-pradesh,4250
kullu district,40813,95127772.88091436,3,2018,himachal-pradesh,4251
mandi district,74604,128941896.3065133,3,2018,himachal-pradesh,4252
lahul and spiti district,972,2922830.176216326,3,2018,himachal-pradesh,4253
chamba district,44858,190977335.4683498,3,2018,himachal-pradesh,4254
kinnaur district,14475,35997911.206382945,3,2018,himachal-pradesh,4255
solan district,347191,577618789.1056865,4,2018,himachal-pradesh,4256
sirmaur district,122707,199344353.77429,4,2018,himachal-pradesh,4257
shimla district,156832,396860638.0464437,4,2018,himachal-pradesh,4258
bilaspur district,51395,92955686.23996082,4,2018,himachal-pradesh,4259
hamirpur district,76300,146948802.4068125,4,2018,himachal-pradesh,4260
una district,110312,222928340.6712972,4,2018,himachal-pradesh,4261
kangra district,187764,414603049.98790735,4,2018,himachal-pradesh,4262
kullu district,64285,157752014.91735,4,2018,himachal-pradesh,4263
mandi district,109661,203827486.0118657,4,2018,himachal-pradesh,4264
lahul and spiti district,1015,2322169.334039093,4,2018,himachal-pradesh,4265
chamba district,63298,160650916.9830967,4,2018,himachal-pradesh,4266
kinnaur district,17123,45486720.66048766,4,2018,himachal-pradesh,4267
solan district,626201,733453989.2236599,1,2019,himachal-pradesh,4268
sirmaur district,174812,238804557.77733693,1,2019,himachal-pradesh,4269
shimla district,363648,708861957.1918447,1,2019,himachal-pradesh,4270
bilaspur district,73141,109483745.6606721,1,2019,himachal-pradesh,4271
hamirpur district,126323,189186708.125866,1,2019,himachal-pradesh,4272
una district,151550,232335414.52680328,1,2019,himachal-pradesh,4273
kangra district,266655,478900506.5331108,1,2019,himachal-pradesh,4274
kullu district,92009,187262819.029819,1,2019,himachal-pradesh,4275
mandi district,167637,287549707.5047521,1,2019,himachal-pradesh,4276
lahul and spiti district,897,2325335.6414572285,1,2019,himachal-pradesh,4277
chamba district,104811,170503559.1379142,1,2019,himachal-pradesh,4278
kinnaur district,21034,42813142.63781583,1,2019,himachal-pradesh,4279
solan district,481957,783011937.8847647,2,2019,himachal-pradesh,4280
sirmaur district,127208,220885809.9785686,2,2019,himachal-pradesh,4281
shimla district,807095,1698682743.209046,2,2019,himachal-pradesh,4282
bilaspur district,68748,128917341.5279548,2,2019,himachal-pradesh,4283
hamirpur district,150149,270178390.1615547,2,2019,himachal-pradesh,4284
una district,105685,189321647.9190805,2,2019,himachal-pradesh,4285
kangra district,295433,591536934.950475,2,2019,himachal-pradesh,4286
kullu district,129068,331174039.3782863,2,2019,himachal-pradesh,4287
mandi district,245467,464902888.7725107,2,2019,himachal-pradesh,4288
lahul and spiti district,1324,3494809.084068289,2,2019,himachal-pradesh,4289
chamba district,62922,128008869.0060637,2,2019,himachal-pradesh,4290
kinnaur district,27250,65768561.73820525,2,2019,himachal-pradesh,4291
solan district,563580,919355818.0941983,3,2019,himachal-pradesh,4292
sirmaur district,154972,258531496.7275585,3,2019,himachal-pradesh,4293
shimla district,695970,1981429213.702668,3,2019,himachal-pradesh,4294
bilaspur district,88416,142694743.740106,3,2019,himachal-pradesh,4295
hamirpur district,187716,301844559.3146769,3,2019,himachal-pradesh,4296
una district,134630,227364592.3232284,3,2019,himachal-pradesh,4297
kangra district,373339,645470163.0699662,3,2019,himachal-pradesh,4298
kullu district,146216,316994313.5845799,3,2019,himachal-pradesh,4299
mandi district,262386,545822136.934624,3,2019,himachal-pradesh,4300
lahul and spiti district,3227,6393534.6480257325,3,2019,himachal-pradesh,4301
chamba district,87489,151224161.2850334,3,2019,himachal-pradesh,4302
kinnaur district,37239,74894047.69871384,3,2019,himachal-pradesh,4303
solan district,693523,1168760137.463309,4,2019,himachal-pradesh,4304
sirmaur district,190673,324766028.2612977,4,2019,himachal-pradesh,4305
shimla district,900252,2553513821.214033,4,2019,himachal-pradesh,4306
bilaspur district,114888,204391757.7059823,4,2019,himachal-pradesh,4307
hamirpur district,258323,429776009.8441242,4,2019,himachal-pradesh,4308
una district,173510,293924768.3295568,4,2019,himachal-pradesh,4309
kangra district,492277,877780658.252526,4,2019,himachal-pradesh,4310
kullu district,204518,442222672.1025748,4,2019,himachal-pradesh,4311
mandi district,332554,678830304.0119475,4,2019,himachal-pradesh,4312
lahul and spiti district,4141,8457290.813101089,4,2019,himachal-pradesh,4313
chamba district,111755,196209094.0899575,4,2019,himachal-pradesh,4314
kinnaur district,40232,92530995.1598253,4,2019,himachal-pradesh,4315
solan district,821088,1293083622.08358,1,2020,himachal-pradesh,4316
sirmaur district,240485,386990850.0342259,1,2020,himachal-pradesh,4317
shimla district,1115491,2725598845.039497,1,2020,himachal-pradesh,4318
bilaspur district,144278,226926312.0178226,1,2020,himachal-pradesh,4319
hamirpur district,247878,312050564.786769,1,2020,himachal-pradesh,4320
una district,208785,305641992.3840707,1,2020,himachal-pradesh,4321
kangra district,569437,836283217.4197669,1,2020,himachal-pradesh,4322
kullu district,245803,451467537.5665263,1,2020,himachal-pradesh,4323
mandi district,357222,582031760.1284182,1,2020,himachal-pradesh,4324
lahul and spiti district,6942,9701822.890865188,1,2020,himachal-pradesh,4325
chamba district,139862,213171894.7803222,1,2020,himachal-pradesh,4326
kinnaur district,47209,76518331.9908822,1,2020,himachal-pradesh,4327
solan district,808170,1165900725.2493389,2,2020,himachal-pradesh,4328
sirmaur district,281385,405760136.7626385,2,2020,himachal-pradesh,4329
shimla district,1090361,2702081598.4635773,2,2020,himachal-pradesh,4330
bilaspur district,191375,284432330.0313782,2,2020,himachal-pradesh,4331
hamirpur district,283099,412476792.884381,2,2020,himachal-pradesh,4332
una district,271636,407244006.0493056,2,2020,himachal-pradesh,4333
kangra district,800587,1148113744.701294,2,2020,himachal-pradesh,4334
kullu district,211730,311597474.942107,2,2020,himachal-pradesh,4335
mandi district,476844,764632316.553696,2,2020,himachal-pradesh,4336
lahul and spiti district,15943,25815249.01271619,2,2020,himachal-pradesh,4337
chamba district,195242,282218981.7534903,2,2020,himachal-pradesh,4338
kinnaur district,69358,126631406.1399989,2,2020,himachal-pradesh,4339
solan district,1025251,1684944862.952114,3,2020,himachal-pradesh,4340
sirmaur district,327646,558556837.731833,3,2020,himachal-pradesh,4341
shimla district,1285819,3273522193.695003,3,2020,himachal-pradesh,4342
bilaspur district,202526,342802524.6465794,3,2020,himachal-pradesh,4343
hamirpur district,330684,570857451.2158681,3,2020,himachal-pradesh,4344
una district,351065,649892231.6889068,3,2020,himachal-pradesh,4345
kangra district,874419,1454881898.970782,3,2020,himachal-pradesh,4346
kullu district,256926,493361636.4825508,3,2020,himachal-pradesh,4347
mandi district,510105,917547335.014626,3,2020,himachal-pradesh,4348
lahul and spiti district,25549,48465700.86848286,3,2020,himachal-pradesh,4349
chamba district,219469,362005461.9674266,3,2020,himachal-pradesh,4350
kinnaur district,80417,159215878.85280618,3,2020,himachal-pradesh,4351
solan district,1429031,2365446849.233446,4,2020,himachal-pradesh,4352
sirmaur district,443100,785448896.1147674,4,2020,himachal-pradesh,4353
shimla district,1481567,3532549313.262061,4,2020,himachal-pradesh,4354
bilaspur district,275513,518335916.86632514,4,2020,himachal-pradesh,4355
hamirpur district,431123,781165089.0953673,4,2020,himachal-pradesh,4356
una district,449443,882226488.1512836,4,2020,himachal-pradesh,4357
kangra district,1184008,2119401487.87651,4,2020,himachal-pradesh,4358
kullu district,468786,964080436.8492868,4,2020,himachal-pradesh,4359
mandi district,671714,1247938155.797392,4,2020,himachal-pradesh,4360
lahul and spiti district,29377,52449015.71120784,4,2020,himachal-pradesh,4361
chamba district,304032,507880011.3589191,4,2020,himachal-pradesh,4362
kinnaur district,104634,232131448.49633548,4,2020,himachal-pradesh,4363
solan district,1415611,2334165842.866145,1,2021,himachal-pradesh,4364
sirmaur district,451501,789668056.651283,1,2021,himachal-pradesh,4365
shimla district,1871647,3621617004.9139824,1,2021,himachal-pradesh,4366
bilaspur district,256578,504967322.0491564,1,2021,himachal-pradesh,4367
hamirpur district,416499,720857278.5633022,1,2021,himachal-pradesh,4368
una district,490374,941158055.3202168,1,2021,himachal-pradesh,4369
kangra district,1122291,2006571077.113485,1,2021,himachal-pradesh,4370
