Place_Name,Registered_Users_Count,App_Openings,Quarter,Year,State
purbi champaran district,505364,12929613,2,2020,bihar
sheohar district,43417,1041641,2,2020,bihar
bhojpur district,259555,4867610,2,2020,bihar
madhepura district,174888,4332368,3,2020,bihar
purnia district,316746,7186535,3,2020,bihar
nalanda district,361391,7732751,3,2020,bihar
buxar district,167059,3285441,3,2020,bihar
darbhanga district,424611,10414880,3,2020,bihar
nawada district,206562,4721198,3,2020,bihar
jamui district,158308,3814872,3,2020,bihar
sheikhpura district,60415,1213708,3,2020,bihar
siwan district,367414,8688138,3,2020,bihar
muzaffarpur district,617383,14800377,3,2020,bihar
patna district,1625305,29504381,3,2020,bihar
jehanabad district,115993,2663168,3,2020,bihar
rohtas district,343921,7658066,3,2020,bihar
begusarai district,313772,6181347,3,2020,bihar
supaul district,196807,4727298,3,2020,bihar
sitamarhi district,289710,6789210,3,2020,bihar
saran district,424821,10052024,3,2020,bihar
arwal district,64808,1650864,3,2020,bihar
vaishali district,391002,9651945,3,2020,bihar
pashchim champaran district,435319,11415211,3,2020,bihar
gopalganj district,287552,6623470,3,2020,bihar
lakhisarai district,100204,2261382,3,2020,bihar
aurangabad district,256224,6482515,3,2020,bihar
kaimur bhabua district,141417,3032445,3,2020,bihar
araria district,228565,5183545,3,2020,bihar
munger district,161775,3168349,3,2020,bihar
katihar district,275202,6775572,3,2020,bihar
khagaria district,149059,3536206,3,2020,bihar
saharsa district,189601,4790580,3,2020,bihar
bhagalpur district,390116,7283987,3,2020,bihar
madhubani district,425154,11641778,3,2020,bihar
kishanganj district,134304,3023513,3,2020,bihar
gaya district,493207,11314373,3,2020,bihar
samastipur district,424696,9730058,3,2020,bihar
banka district,144279,2875136,3,2020,bihar
purbi champaran district,570592,15404931,3,2020,bihar
sheohar district,48874,1241754,3,2020,bihar
bhojpur district,286157,5799268,3,2020,bihar
madhepura district,193410,4831123,4,2020,bihar
purnia district,349571,8504022,4,2020,bihar
nalanda district,395006,9054158,4,2020,bihar
buxar district,183347,3876799,4,2020,bihar
darbhanga district,467317,12308124,4,2020,bihar
nawada district,227399,5318433,4,2020,bihar
jamui district,173812,4195684,4,2020,bihar
sheikhpura district,66571,1332232,4,2020,bihar
siwan district,408372,10923309,4,2020,bihar
muzaffarpur district,673397,17639241,4,2020,bihar
patna district,1752007,40115277,4,2020,bihar
jehanabad district,126924,3102482,4,2020,bihar
rohtas district,374596,8824562,4,2020,bihar
begusarai district,345027,7532475,4,2020,bihar
supaul district,216867,5215983,4,2020,bihar
sitamarhi district,318599,7464589,4,2020,bihar
saran district,467918,12501600,4,2020,bihar
arwal district,71027,1828035,4,2020,bihar
vaishali district,428039,11214166,4,2020,bihar
pashchim champaran district,476717,12832884,4,2020,bihar
gopalganj district,319052,8137685,4,2020,bihar
lakhisarai district,109424,2609865,4,2020,bihar
aurangabad district,280479,7478178,4,2020,bihar
kaimur bhabua district,153839,3208221,4,2020,bihar
araria district,254605,5957541,4,2020,bihar
munger district,176482,3827248,4,2020,bihar
katihar district,302845,7936851,4,2020,bihar
khagaria district,164654,4281955,4,2020,bihar
saharsa district,209020,5524808,4,2020,bihar
bhagalpur district,428157,9023852,4,2020,bihar
madhubani district,467849,13216505,4,2020,bihar
kishanganj district,148938,3367157,4,2020,bihar
gaya district,538319,13530398,4,2020,bihar
samastipur district,466536,11579891,4,2020,bihar
banka district,159221,3085551,4,2020,bihar
purbi champaran district,627214,17365891,4,2020,bihar
sheohar district,54013,1335271,4,2020,bihar
bhojpur district,313263,6974554,4,2020,bihar
madhepura district,210098,5733055,1,2021,bihar
purnia district,378977,9959158,1,2021,bihar
nalanda district,426419,9874574,1,2021,bihar
buxar district,198162,4019635,1,2021,bihar
darbhanga district,506381,13818215,1,2021,bihar
nawada district,246611,5920314,1,2021,bihar
jamui district,188350,4697229,1,2021,bihar
sheikhpura district,72003,1414389,1,2021,bihar
siwan district,444057,11680516,1,2021,bihar
muzaffarpur district,728384,19666044,1,2021,bihar
patna district,1881439,47764472,1,2021,bihar
jehanabad district,137074,3267649,1,2021,bihar
rohtas district,404078,9482678,1,2021,bihar
begusarai district,373508,8444119,1,2021,bihar
supaul district,235215,6222688,1,2021,bihar
sitamarhi district,346031,8319923,1,2021,bihar
saran district,507177,13238238,1,2021,bihar
arwal district,76552,1906173,1,2021,bihar
vaishali district,463655,12207307,1,2021,bihar
pashchim champaran district,517219,14874230,1,2021,bihar
gopalganj district,346929,8794900,1,2021,bihar
lakhisarai district,118141,2781792,1,2021,bihar
aurangabad district,303541,8312272,1,2021,bihar
kaimur bhabua district,166313,3499932,1,2021,bihar
araria district,276798,7141525,1,2021,bihar
munger district,190196,4044233,1,2021,bihar
katihar district,328252,9357558,1,2021,bihar
khagaria district,178859,4898855,1,2021,bihar
saharsa district,226755,6552751,1,2021,bihar
bhagalpur district,462764,10257098,1,2021,bihar
madhubani district,506293,14033961,1,2021,bihar
kishanganj district,161635,4008897,1,2021,bihar
gaya district,581376,15207460,1,2021,bihar
samastipur district,505806,12818876,1,2021,bihar
banka district,172220,3321178,1,2021,bihar
purbi champaran district,681660,19530766,1,2021,bihar
sheohar district,58746,1479515,1,2021,bihar
bhojpur district,338614,7240433,1,2021,bihar
madhepura district,225631,6098073,2,2021,bihar
purnia district,407327,11452485,2,2021,bihar
nalanda district,457143,9781814,2,2021,bihar
buxar district,212916,4884682,2,2021,bihar
darbhanga district,543496,13535399,2,2021,bihar
nawada district,264993,7631616,2,2021,bihar
jamui district,202627,7604897,2,2021,bihar
sheikhpura district,77323,1765795,2,2021,bihar
siwan district,476870,11554566,2,2021,bihar
muzaffarpur district,781251,17402981,2,2021,bihar
patna district,2010353,31047869,2,2021,bihar
jehanabad district,147027,3636758,2,2021,bihar
rohtas district,433856,11238005,2,2021,bihar
begusarai district,400750,8533638,2,2021,bihar
supaul district,252844,7689997,2,2021,bihar
sitamarhi district,372211,9148788,2,2021,bihar
saran district,544975,13189206,2,2021,bihar
arwal district,82232,2240595,2,2021,bihar
vaishali district,497933,11209569,2,2021,bihar
pashchim champaran district,556408,17174254,2,2021,bihar
gopalganj district,372691,9392913,2,2021,bihar
lakhisarai district,126770,3347282,2,2021,bihar
aurangabad district,326548,11429194,2,2021,bihar
kaimur bhabua district,179008,5583876,2,2021,bihar
araria district,297709,9439160,2,2021,bihar
munger district,203824,4191352,2,2021,bihar
katihar district,353303,10868200,2,2021,bihar
khagaria district,192428,5916120,2,2021,bihar
saharsa district,243572,7113137,2,2021,bihar
bhagalpur district,496135,9593627,2,2021,bihar
madhubani district,543493,15459649,2,2021,bihar
kishanganj district,174209,5740581,2,2021,bihar
gaya district,624010,17754295,2,2021,bihar
samastipur district,543782,12581028,2,2021,bihar
banka district,185539,6393589,2,2021,bihar
purbi champaran district,733817,20204379,2,2021,bihar
sheohar district,63289,1745845,2,2021,bihar
bhojpur district,363841,7623446,2,2021,bihar
madhepura district,244216,7179146,3,2021,bihar
purnia district,440447,14245246,3,2021,bihar
nalanda district,492998,10964467,3,2021,bihar
buxar district,230171,5045192,3,2021,bihar
darbhanga district,586251,15207842,3,2021,bihar
nawada district,286524,8022119,3,2021,bihar
jamui district,219468,8355425,3,2021,bihar
sheikhpura district,83526,1880309,3,2021,bihar
siwan district,514727,12380428,3,2021,bihar
muzaffarpur district,842701,20014713,3,2021,bihar
patna district,2156402,43378051,3,2021,bihar
jehanabad district,158603,4051354,3,2021,bihar
rohtas district,468953,12405207,3,2021,bihar
begusarai district,432035,10042118,3,2021,bihar
supaul district,273337,8972152,3,2021,bihar
sitamarhi district,402641,9677557,3,2021,bihar
saran district,588276,13924564,3,2021,bihar
arwal district,88938,2204921,3,2021,bihar
vaishali district,536933,12338903,3,2021,bihar
pashchim champaran district,602251,19035099,3,2021,bihar
gopalganj district,402719,10121489,3,2021,bihar
lakhisarai district,136992,3739789,3,2021,bihar
aurangabad district,353208,11946834,3,2021,bihar
kaimur bhabua district,193984,5797640,3,2021,bihar
araria district,322491,11108346,3,2021,bihar
munger district,219691,4667697,3,2021,bihar
katihar district,382183,12315161,3,2021,bihar
khagaria district,208396,6552258,3,2021,bihar
saharsa district,263226,8287766,3,2021,bihar
bhagalpur district,534600,11361635,3,2021,bihar
madhubani district,587337,16079472,3,2021,bihar
kishanganj district,188986,6967804,3,2021,bihar
gaya district,673356,20242649,3,2021,bihar
samastipur district,586990,13912525,3,2021,bihar
banka district,201221,6967924,3,2021,bihar
purbi champaran district,794120,22500338,3,2021,bihar
sheohar district,68582,1866229,3,2021,bihar
bhojpur district,393291,8041010,3,2021,bihar
madhepura district,262206,10402002,4,2021,bihar
purnia district,472750,19907962,4,2021,bihar
nalanda district,528281,15223943,4,2021,bihar
buxar district,247005,7400896,4,2021,bihar
darbhanga district,628529,25312106,4,2021,bihar
nawada district,307666,10568023,4,2021,bihar
jamui district,235801,9383204,4,2021,bihar
sheikhpura district,89702,2540493,4,2021,bihar
siwan district,552651,24348910,4,2021,bihar
muzaffarpur district,903775,36050072,4,2021,bihar
patna district,2303852,69546634,4,2021,bihar
jehanabad district,170164,5595078,4,2021,bihar
rohtas district,503828,17122315,4,2021,bihar
begusarai district,463557,15751510,4,2021,bihar
supaul district,293225,11472917,4,2021,bihar
sitamarhi district,432514,15814002,4,2021,bihar
saran district,631469,25767453,4,2021,bihar
arwal district,95398,3126382,4,2021,bihar
vaishali district,576156,22911298,4,2021,bihar
pashchim champaran district,647450,28841290,4,2021,bihar
gopalganj district,432546,18206196,4,2021,bihar
lakhisarai district,146950,4888202,4,2021,bihar
aurangabad district,379357,15198813,4,2021,bihar
kaimur bhabua district,208596,6645159,4,2021,bihar
araria district,346285,14269965,4,2021,bihar
munger district,235246,7353987,4,2021,bihar
katihar district,410498,18358609,4,2021,bihar
khagaria district,224050,8252861,4,2021,bihar
saharsa district,282456,11592957,4,2021,bihar
bhagalpur district,573035,17844987,4,2021,bihar
madhubani district,629986,26796754,4,2021,bihar
kishanganj district,202863,8182123,4,2021,bihar
gaya district,721905,27405704,4,2021,bihar
samastipur district,630218,24109034,4,2021,bihar
banka district,216263,6644455,4,2021,bihar
purbi champaran district,853893,38615069,4,2021,bihar
sheohar district,73732,3184802,4,2021,bihar
bhojpur district,422123,12764671,4,2021,bihar
madhepura district,280094,5631100,1,2022,bihar
purnia district,504801,13394323,1,2022,bihar
nalanda district,563049,6429261,1,2022,bihar
buxar district,263663,4013615,1,2022,bihar
darbhanga district,669850,8376582,1,2022,bihar
nawada district,328635,7249380,1,2022,bihar
jamui district,252094,12753539,1,2022,bihar
sheikhpura district,95718,1962184,1,2022,bihar
siwan district,589829,6109801,1,2022,bihar
muzaffarpur district,962924,10684936,1,2022,bihar
patna district,2443356,16131828,1,2022,bihar
jehanabad district,181455,2562072,1,2022,bihar
rohtas district,537701,10913805,1,2022,bihar
begusarai district,493845,6652256,1,2022,bihar
supaul district,313291,8832097,1,2022,bihar
sitamarhi district,461979,6415453,1,2022,bihar
saran district,673849,8000740,1,2022,bihar
arwal district,101813,1461593,1,2022,bihar
vaishali district,614159,5793084,1,2022,bihar
pashchim champaran district,692182,17528649,1,2022,bihar
gopalganj district,461794,5928935,1,2022,bihar
lakhisarai district,156781,3371253,1,2022,bihar
aurangabad district,405254,13452704,1,2022,bihar
kaimur bhabua district,223072,6887444,1,2022,bihar
araria district,370029,11889342,1,2022,bihar
munger district,250357,3394719,1,2022,bihar
katihar district,438584,12011467,1,2022,bihar
khagaria district,239286,6257649,1,2022,bihar
saharsa district,301372,6799845,1,2022,bihar
bhagalpur district,610174,7091019,1,2022,bihar
madhubani district,672303,11335634,1,2022,bihar
kishanganj district,216915,8983771,1,2022,bihar
gaya district,769265,19954254,1,2022,bihar
samastipur district,672508,8256538,1,2022,bihar
banka district,231228,10552229,1,2022,bihar
purbi champaran district,912427,13051699,1,2022,bihar
sheohar district,78832,1090835,1,2022,bihar
bhojpur district,450190,5785964,1,2022,bihar
madhepura district,296711,6048349,2,2022,bihar
purnia district,534713,15748261,2,2022,bihar
nalanda district,595960,7175402,2,2022,bihar
buxar district,279169,4657169,2,2022,bihar
darbhanga district,708828,8695015,2,2022,bihar
nawada district,348128,9106459,2,2022,bihar
jamui district,267040,15353736,2,2022,bihar
sheikhpura district,101333,2534607,2,2022,bihar
siwan district,625266,6287087,2,2022,bihar
muzaffarpur district,1018560,10556362,2,2022,bihar
patna district,2577123,15545639,2,2022,bihar
jehanabad district,192101,3125099,2,2022,bihar
rohtas district,569818,11734606,2,2022,bihar
begusarai district,522522,7676043,2,2022,bihar
supaul district,331990,9364630,2,2022,bihar
sitamarhi district,489836,6910218,2,2022,bihar
saran district,714109,7698357,2,2022,bihar
arwal district,108033,1350947,2,2022,bihar
vaishali district,650319,5971589,2,2022,bihar
pashchim champaran district,734476,18284568,2,2022,bihar
gopalganj district,489448,6461756,2,2022,bihar
lakhisarai district,165876,3978621,2,2022,bihar
aurangabad district,429493,14606052,2,2022,bihar
kaimur bhabua district,236482,8031560,2,2022,bihar
araria district,392076,13402058,2,2022,bihar
munger district,264683,3322251,2,2022,bihar
katihar district,464782,13185680,2,2022,bihar
khagaria district,253856,7346984,2,2022,bihar
saharsa district,319345,8124445,2,2022,bihar
bhagalpur district,645479,8167048,2,2022,bihar
madhubani district,711897,11801738,2,2022,bihar
kishanganj district,229908,8860529,2,2022,bihar
gaya district,814180,22949318,2,2022,bihar
samastipur district,712626,9290605,2,2022,bihar
banka district,245267,13631840,2,2022,bihar
purbi champaran district,967838,13811656,2,2022,bihar
sheohar district,83701,1159293,2,2022,bihar
bhojpur district,476922,6632861,2,2022,bihar
madhepura district,313960,5886305,3,2022,bihar
purnia district,565515,17265639,3,2022,bihar
nalanda district,629780,7753374,3,2022,bihar
buxar district,295108,4551340,3,2022,bihar
darbhanga district,749430,7569101,3,2022,bihar
nawada district,368086,8056207,3,2022,bihar
jamui district,282221,16122651,3,2022,bihar
sheikhpura district,107101,2666151,3,2022,bihar
siwan district,662330,4771874,3,2022,bihar
muzaffarpur district,1077200,9753785,3,2022,bihar
patna district,2716533,14287382,3,2022,bihar
jehanabad district,203185,4506553,3,2022,bihar
rohtas district,603031,11903038,3,2022,bihar
begusarai district,552515,6457145,3,2022,bihar
supaul district,351009,10366077,3,2022,bihar
sitamarhi district,518667,5382757,3,2022,bihar
saran district,756293,6774716,3,2022,bihar
arwal district,114283,1140276,3,2022,bihar
vaishali district,688248,5105824,3,2022,bihar
pashchim champaran district,777977,17123986,3,2022,bihar
gopalganj district,518406,4689571,3,2022,bihar
lakhisarai district,175377,3236651,3,2022,bihar
aurangabad district,454222,13130908,3,2022,bihar
kaimur bhabua district,249931,8936663,3,2022,bihar
araria district,414664,15218229,3,2022,bihar
munger district,279807,2859668,3,2022,bihar
katihar district,491899,13879403,3,2022,bihar
khagaria district,268959,6906706,3,2022,bihar
saharsa district,337915,8150025,3,2022,bihar
bhagalpur district,682584,7649764,3,2022,bihar
madhubani district,753153,10261898,3,2022,bihar
kishanganj district,242898,10058569,3,2022,bihar
gaya district,859903,21340459,3,2022,bihar
samastipur district,754322,8237748,3,2022,bihar
banka district,258927,16625291,3,2022,bihar
purbi champaran district,1025772,11862222,3,2022,bihar
sheohar district,88685,1331255,3,2022,bihar
bhojpur district,504480,4988174,3,2022,bihar
madhepura district,329562,13499708,4,2022,bihar
purnia district,593232,26454795,4,2022,bihar
nalanda district,662033,16909884,4,2022,bihar
buxar district,309618,9814488,4,2022,bihar
darbhanga district,787306,31930577,4,2022,bihar
nawada district,386468,12902353,4,2022,bihar
jamui district,295526,14333122,4,2022,bihar
sheikhpura district,112165,3234164,4,2022,bihar
siwan district,696350,32066312,4,2022,bihar
muzaffarpur district,1132096,47917955,4,2022,bihar
patna district,2854738,76878071,4,2022,bihar
jehanabad district,213299,6789308,4,2022,bihar
rohtas district,633339,21868732,4,2022,bihar
begusarai district,580490,20776494,4,2022,bihar
supaul district,368012,16629451,4,2022,bihar
sitamarhi district,545122,21609733,4,2022,bihar
saran district,795553,34582489,4,2022,bihar
arwal district,120018,3801300,4,2022,bihar
vaishali district,723338,30088669,4,2022,bihar
pashchim champaran district,817644,36683844,4,2022,bihar
gopalganj district,544789,24049716,4,2022,bihar
lakhisarai district,184080,6181684,4,2022,bihar
aurangabad district,476502,19689871,4,2022,bihar
kaimur bhabua district,261997,10021920,4,2022,bihar
araria district,434826,20875243,4,2022,bihar
munger district,293955,8729881,4,2022,bihar
katihar district,516972,26243092,4,2022,bihar
khagaria district,282678,10119449,4,2022,bihar
saharsa district,354933,14792840,4,2022,bihar
bhagalpur district,717627,22401259,4,2022,bihar
madhubani district,790218,32995768,4,2022,bihar
kishanganj district,254250,13281628,4,2022,bihar
gaya district,902593,33234272,4,2022,bihar
samastipur district,793296,32459845,4,2022,bihar
banka district,270790,10606068,4,2022,bihar
purbi champaran district,1079466,50161341,4,2022,bihar
sheohar district,93194,4924740,4,2022,bihar
bhojpur district,530042,15287136,4,2022,bihar
chandigarh district,86268,0,1,2018,chandigarh
chandigarh district,115219,0,2,2018,chandigarh
chandigarh district,143893,0,3,2018,chandigarh
chandigarh district,177747,0,4,2018,chandigarh
chandigarh district,209175,0,1,2019,chandigarh
chandigarh district,240439,1220176,2,2019,chandigarh
chandigarh district,267337,4625196,3,2019,chandigarh
chandigarh district,289590,4960441,4,2019,chandigarh
chandigarh district,312887,5201211,1,2020,chandigarh
chandigarh district,336351,3451250,2,2020,chandigarh
chandigarh district,362588,4888739,3,2020,chandigarh
chandigarh district,391402,6477974,4,2020,chandigarh
chandigarh district,419998,7919533,1,2021,chandigarh
chandigarh district,448572,4733924,2,2021,chandigarh
chandigarh district,480463,6378807,3,2021,chandigarh
chandigarh district,512092,11603954,4,2021,chandigarh
chandigarh district,541549,2321685,1,2022,chandigarh
chandigarh district,569582,2285979,2,2022,chandigarh
chandigarh district,598698,2173356,3,2022,chandigarh
chandigarh district,627563,15308862,4,2022,chandigarh
dhamtari district,15571,0,1,2018,chhattisgarh
korba district,39075,0,1,2018,chhattisgarh
surajpur district,12279,0,1,2018,chhattisgarh
baloda bazar district,21747,0,1,2018,chhattisgarh
sukma district,3205,0,1,2018,chhattisgarh
raigarh district,51628,0,1,2018,chhattisgarh
janjgir champa district,42297,0,1,2018,chhattisgarh
jashpur district,12420,0,1,2018,chhattisgarh
balod district,13500,0,1,2018,chhattisgarh
kabirdham district,10892,0,1,2018,chhattisgarh
surguja district,22001,0,1,2018,chhattisgarh
dantewada district,4894,0,1,2018,chhattisgarh
gariyaband district,8679,0,1,2018,chhattisgarh
durg district,91516,0,1,2018,chhattisgarh
rajnandgaon district,26295,0,1,2018,chhattisgarh
raipur district,135308,0,1,2018,chhattisgarh
narayanpur district,1768,0,1,2018,chhattisgarh
kanker district,10256,0,1,2018,chhattisgarh
korea district,15517,0,1,2018,chhattisgarh
mungeli district,7387,0,1,2018,chhattisgarh
bilaspur district,68704,0,1,2018,chhattisgarh
balrampur district,9313,0,1,2018,chhattisgarh
bijapur district,3606,0,1,2018,chhattisgarh
bemetara district,12283,0,1,2018,chhattisgarh
bastar district,13889,0,1,2018,chhattisgarh
kondagaon district,5625,0,1,2018,chhattisgarh
mahasamund district,19608,0,1,2018,chhattisgarh
dhamtari district,22286,0,2,2018,chhattisgarh
korba district,54105,0,2,2018,chhattisgarh
surajpur district,17141,0,2,2018,chhattisgarh
baloda bazar district,32314,0,2,2018,chhattisgarh
sukma district,4793,0,2,2018,chhattisgarh
raigarh district,70970,0,2,2018,chhattisgarh
janjgir champa district,60185,0,2,2018,chhattisgarh
jashpur district,17053,0,2,2018,chhattisgarh
balod district,19941,0,2,2018,chhattisgarh
kabirdham district,16461,0,2,2018,chhattisgarh
surguja district,30374,0,2,2018,chhattisgarh
dantewada district,7287,0,2,2018,chhattisgarh
gariyaband district,12542,0,2,2018,chhattisgarh
durg district,124515,0,2,2018,chhattisgarh
rajnandgaon district,38120,0,2,2018,chhattisgarh
raipur district,185747,0,2,2018,chhattisgarh
narayanpur district,2522,0,2,2018,chhattisgarh
kanker district,15229,0,2,2018,chhattisgarh
korea district,20966,0,2,2018,chhattisgarh
mungeli district,11084,0,2,2018,chhattisgarh
bilaspur district,94888,0,2,2018,chhattisgarh
balrampur district,12903,0,2,2018,chhattisgarh
bijapur district,5454,0,2,2018,chhattisgarh
bemetara district,17548,0,2,2018,chhattisgarh
bastar district,19718,0,2,2018,chhattisgarh
kondagaon district,8321,0,2,2018,chhattisgarh
mahasamund district,28208,0,2,2018,chhattisgarh
dhamtari district,29271,0,3,2018,chhattisgarh
korba district,68746,0,3,2018,chhattisgarh
surajpur district,23142,0,3,2018,chhattisgarh
baloda bazar district,43335,0,3,2018,chhattisgarh
sukma district,6694,0,3,2018,chhattisgarh
raigarh district,89911,0,3,2018,chhattisgarh
janjgir champa district,77834,0,3,2018,chhattisgarh
jashpur district,22329,0,3,2018,chhattisgarh
balod district,26663,0,3,2018,chhattisgarh
kabirdham district,21958,0,3,2018,chhattisgarh
surguja district,40025,0,3,2018,chhattisgarh
dantewada district,10338,0,3,2018,chhattisgarh
gariyaband district,16672,0,3,2018,chhattisgarh
durg district,150753,0,3,2018,chhattisgarh
rajnandgaon district,50271,0,3,2018,chhattisgarh
raipur district,231146,0,3,2018,chhattisgarh
narayanpur district,3509,0,3,2018,chhattisgarh
kanker district,21379,0,3,2018,chhattisgarh
korea district,27036,0,3,2018,chhattisgarh
mungeli district,15251,0,3,2018,chhattisgarh
bilaspur district,119415,0,3,2018,chhattisgarh
balrampur district,17026,0,3,2018,chhattisgarh
bijapur district,7785,0,3,2018,chhattisgarh
bemetara district,23151,0,3,2018,chhattisgarh
bastar district,25975,0,3,2018,chhattisgarh
kondagaon district,11549,0,3,2018,chhattisgarh
mahasamund district,36628,0,3,2018,chhattisgarh
dhamtari district,37491,0,4,2018,chhattisgarh
korba district,88680,0,4,2018,chhattisgarh
surajpur district,32284,0,4,2018,chhattisgarh
baloda bazar district,60270,0,4,2018,chhattisgarh
sukma district,9189,0,4,2018,chhattisgarh
raigarh district,116785,0,4,2018,chhattisgarh
janjgir champa district,107156,0,4,2018,chhattisgarh
jashpur district,29087,0,4,2018,chhattisgarh
balod district,35319,0,4,2018,chhattisgarh
kabirdham district,30021,0,4,2018,chhattisgarh
surguja district,51776,0,4,2018,chhattisgarh
dantewada district,14264,0,4,2018,chhattisgarh
gariyaband district,21861,0,4,2018,chhattisgarh
durg district,185746,0,4,2018,chhattisgarh
rajnandgaon district,64828,0,4,2018,chhattisgarh
raipur district,289198,0,4,2018,chhattisgarh
narayanpur district,4918,0,4,2018,chhattisgarh
kanker district,29452,0,4,2018,chhattisgarh
korea district,35408,0,4,2018,chhattisgarh
mungeli district,21506,0,4,2018,chhattisgarh
bilaspur district,153972,0,4,2018,chhattisgarh
balrampur district,22409,0,4,2018,chhattisgarh
bijapur district,10547,0,4,2018,chhattisgarh
bemetara district,30148,0,4,2018,chhattisgarh
bastar district,34157,0,4,2018,chhattisgarh
kondagaon district,15900,0,4,2018,chhattisgarh
mahasamund district,47626,0,4,2018,chhattisgarh
dhamtari district,44369,0,1,2019,chhattisgarh
korba district,105570,0,1,2019,chhattisgarh
surajpur district,39128,0,1,2019,chhattisgarh
baloda bazar district,73454,0,1,2019,chhattisgarh
sukma district,11464,0,1,2019,chhattisgarh
raigarh district,139059,0,1,2019,chhattisgarh
janjgir champa district,130114,0,1,2019,chhattisgarh
jashpur district,35598,0,1,2019,chhattisgarh
balod district,42804,0,1,2019,chhattisgarh
kabirdham district,36729,0,1,2019,chhattisgarh
surguja district,62300,0,1,2019,chhattisgarh
dantewada district,17514,0,1,2019,chhattisgarh
gariyaband district,25995,0,1,2019,chhattisgarh
durg district,224058,0,1,2019,chhattisgarh
rajnandgaon district,78320,0,1,2019,chhattisgarh
raipur district,351495,0,1,2019,chhattisgarh
narayanpur district,6161,0,1,2019,chhattisgarh
kanker district,36502,0,1,2019,chhattisgarh
korea district,41970,0,1,2019,chhattisgarh
mungeli district,26640,0,1,2019,chhattisgarh
bilaspur district,184636,0,1,2019,chhattisgarh
balrampur district,27410,0,1,2019,chhattisgarh
bijapur district,12986,0,1,2019,chhattisgarh
bemetara district,36315,0,1,2019,chhattisgarh
bastar district,41559,0,1,2019,chhattisgarh
kondagaon district,19795,0,1,2019,chhattisgarh
mahasamund district,56953,0,1,2019,chhattisgarh
dhamtari district,51082,244565,2,2019,chhattisgarh
korba district,119540,662066,2,2019,chhattisgarh
surajpur district,44750,235751,2,2019,chhattisgarh
baloda bazar district,84458,425931,2,2019,chhattisgarh
sukma district,13471,98219,2,2019,chhattisgarh
raigarh district,156178,865029,2,2019,chhattisgarh
janjgir champa district,147327,1438732,2,2019,chhattisgarh
jashpur district,41149,228722,2,2019,chhattisgarh
balod district,49629,240564,2,2019,chhattisgarh
kabirdham district,43027,215125,2,2019,chhattisgarh
surguja district,71076,405600,2,2019,chhattisgarh
dantewada district,20567,125417,2,2019,chhattisgarh
gariyaband district,29595,162851,2,2019,chhattisgarh
durg district,257557,1648362,2,2019,chhattisgarh
rajnandgaon district,91198,489047,2,2019,chhattisgarh
raipur district,405792,2581481,2,2019,chhattisgarh
narayanpur district,7310,49504,2,2019,chhattisgarh
kanker district,42656,254042,2,2019,chhattisgarh
korea district,47709,253724,2,2019,chhattisgarh
mungeli district,31068,152275,2,2019,chhattisgarh
bilaspur district,209039,1112112,2,2019,chhattisgarh
balrampur district,32072,214601,2,2019,chhattisgarh
bijapur district,15866,129715,2,2019,chhattisgarh
bemetara district,41571,196879,2,2019,chhattisgarh
bastar district,48796,306391,2,2019,chhattisgarh
kondagaon district,23091,131604,2,2019,chhattisgarh
mahasamund district,65492,338064,2,2019,chhattisgarh
dhamtari district,56490,810027,3,2019,chhattisgarh
korba district,131850,2213038,3,2019,chhattisgarh
surajpur district,49502,764794,3,2019,chhattisgarh
baloda bazar district,93416,1376499,3,2019,chhattisgarh
sukma district,15279,358888,3,2019,chhattisgarh
raigarh district,170447,2931974,3,2019,chhattisgarh
janjgir champa district,161232,4799392,3,2019,chhattisgarh
jashpur district,45820,746166,3,2019,chhattisgarh
balod district,54969,765025,3,2019,chhattisgarh
kabirdham district,47753,690082,3,2019,chhattisgarh
surguja district,79170,1391594,3,2019,chhattisgarh
dantewada district,23099,484093,3,2019,chhattisgarh
gariyaband district,32332,539156,3,2019,chhattisgarh
durg district,289803,6359888,3,2019,chhattisgarh
rajnandgaon district,101617,1607087,3,2019,chhattisgarh
raipur district,455785,9790726,3,2019,chhattisgarh
narayanpur district,8433,184839,3,2019,chhattisgarh
kanker district,48053,894748,3,2019,chhattisgarh
korea district,52380,850973,3,2019,chhattisgarh
mungeli district,34553,460088,3,2019,chhattisgarh
bilaspur district,230364,3912885,3,2019,chhattisgarh
balrampur district,35659,702832,3,2019,chhattisgarh
bijapur district,18114,447468,3,2019,chhattisgarh
bemetara district,45724,628499,3,2019,chhattisgarh
bastar district,55159,1064689,3,2019,chhattisgarh
kondagaon district,26016,469456,3,2019,chhattisgarh
mahasamund district,72039,1117435,3,2019,chhattisgarh
dhamtari district,62892,1008239,4,2019,chhattisgarh
korba district,147812,2916267,4,2019,chhattisgarh
surajpur district,56178,1035362,4,2019,chhattisgarh
baloda bazar district,104742,1738972,4,2019,chhattisgarh
sukma district,17353,417726,4,2019,chhattisgarh
raigarh district,189764,3695931,4,2019,chhattisgarh
janjgir champa district,180195,5052142,4,2019,chhattisgarh
jashpur district,52404,952488,4,2019,chhattisgarh
balod district,61992,973572,4,2019,chhattisgarh
kabirdham district,53883,867524,4,2019,chhattisgarh
surguja district,89297,1819241,4,2019,chhattisgarh
dantewada district,26072,563817,4,2019,chhattisgarh
gariyaband district,35867,668602,4,2019,chhattisgarh
